targetCohortDefinitionId,timeAtRiskId,outcomeCohortDefinitionId,subgroupCohortDefinitionId,random.te,random.te.lower,random.te.upper,seTE.random,tau2,se.tau2,tau,lower.predict,upper.predict,seTE.predict
104,5,314,42,-7.902284218482087,-8.131554323186654,-7.673014113777521,0.11697669269079422,0.1326998719814869,0.09139743060499769,0.36427993628731037,-8.767787496025036,-7.0367809409391375,0.38260086070781835
104,5,314,51,-8.419174727585641,-8.647300636326348,-8.191048818844935,0.11639290851267405,0.13529970943870093,0.09779436464356969,0.3678310881895397,-9.291930729665625,-7.546418725505657,0.3858069706352396
104,5,314,52,-7.890056076230512,-8.11075115700039,-7.669360995460634,0.1126016000858653,0.12489829719421362,0.08571939397588264,0.3534095318383668,-8.729122515514469,-7.0509896369465554,0.3709142994494965
104,5,314,61,-8.08400972453407,-8.309407073963742,-7.858612375104398,0.1150007608341673,0.12504366660614025,0.09403445853024542,0.3536151391076749,-8.925181973206143,-7.242837475861997,0.3718451849877548
104,5,314,62,-7.706607333489995,-7.922911617609808,-7.490303049370182,0.11036135654838257,0.11764558359381377,0.0862236625249813,0.34299501977989966,-8.521691197078313,-6.891523469901676,0.3603126595236601
104,5,314,71,-7.969109518992904,-8.235149365277882,-7.703069672707925,0.1357371096527626,0.19385960505075886,0.1545566443631525,0.4402949069098561,-8.995709033332382,-6.942510004653426,0.46074306070481946
104,5,314,72,-7.625211961274222,-7.895665462095073,-7.354758460453372,0.137989015591181,0.20082070167247004,0.15888255549682817,0.4481302284743465,-8.669973106513302,-6.5804508160351425,0.46889409262251663
104,5,314,81,-7.839505321180353,-8.181353318324497,-7.49765732403621,0.17441544836568276,0.27504597516797535,0.2257021778222036,0.5244482578557921,-9.089777961556614,-6.589232680804093,0.5526904412024669
104,5,314,82,-7.524011603333382,-7.870332467499926,-7.177690739166838,0.176697565311546,0.28508050719767575,0.23531893974965765,0.5339293091764824,-8.79626644312126,-6.251756763545505,0.5624078029194686
104,5,314,91,-7.994236548476589,-8.402145151102113,-7.586327945851065,0.2081204582548738,0.34941508735605886,0.3013250759118637,0.5911134301942892,-9.43936577751087,-6.549107319442308,0.6266811090979826
104,5,314,92,-7.791382945364366,-8.225759489475045,-7.357006401253686,0.2216247581776942,0.39880638376402155,0.3549605220481943,0.6315111905295278,-9.334725062325841,-6.248040828402892,0.6692711836029869
104,5,316,21,-11.31498822650911,-12.285714733873846,-10.344261719144374,0.49527772705095807,2.0569028969956977,1.8468824970093887,1.4341906766520613,-14.695745974804721,-7.9342304782134985,1.5173011974912762
104,5,316,22,-11.120615651498957,-11.920281850753451,-10.320949452244463,0.40800045590743506,1.3927588403868336,1.230754759820004,1.1801520412162296,-13.902867228622588,-8.338364074375326,1.2486885970519266
104,5,316,31,-10.519811163100641,-10.963054558268125,-10.076567767933158,0.22614874490742204,0.45445442196862296,0.38283564983156226,0.6741323475168826,-12.104138027552723,-8.935484298648559,0.71105391974999
104,5,316,32,-10.740873544963648,-11.210180695136373,-10.271566394790923,0.23944682344908366,0.505037303331488,0.41713221302288045,0.7106597662253633,-12.411787664288681,-9.069959425638615,0.7499147182122409
104,5,316,41,-7.887334027992035,-8.185886385866949,-7.588781670117123,0.15232543058436576,0.26494129255559684,0.20396041918698854,0.514724482180124,-9.083378395113384,-6.691289660870686,0.5367907686969936
104,5,316,42,-8.526991123524695,-8.881083399448524,-8.172898847600866,0.18066264416941505,0.36198116085940746,0.27337271980703204,0.6016487022003849,-9.926681192305683,-7.127301054743707,0.6281879908575873
104,5,316,51,-7.123447665326452,-7.453257362487127,-6.793637968165777,0.16827334571562103,0.3361594424274819,0.2483769742797538,0.5797925856955071,-8.468615081955726,-5.77828024869718,0.603717948470816
104,5,316,52,-7.131860523921199,-7.4707340914812335,-6.792986956361165,0.17289785436519514,0.35414902003323406,0.2581692856402828,0.5951042093896111,-8.512664414029564,-5.751056633812835,0.6197117782302691
104,5,316,61,-6.685811148168234,-7.011333493941285,-6.360288802395184,0.16608588134309044,0.3260052921742916,0.2406328202022993,0.5709687313455016,-8.010738675085811,-5.360883621250658,0.5946341834740101
104,5,316,62,-6.3706103806595005,-6.633036031268853,-6.108184730050148,0.13389309838309943,0.21115689286966008,0.1563414891325482,0.45951810940338367,-7.437058841323128,-5.304161919995873,0.47862746960897096
104,5,316,71,-6.132453689943655,-6.38067206721794,-5.88423531266937,0.12664435634134089,0.20469211395590947,0.15845060603570332,0.45242912589256395,-7.166520712479335,-5.098386667407975,0.46982007933784825
104,5,316,72,-5.968699594751277,-6.2044358670660005,-5.732963322436553,0.12027581842022667,0.18466900151187138,0.14251566479907385,0.42973131316192376,-6.9508798796374975,-4.986519309865056,0.44624575517143766
104,5,316,81,-5.632965232838659,-5.878675388596176,-5.387255077081142,0.12536462797053805,0.1769346578663598,0.1350574936722674,0.4206360158930281,-6.610940398214812,-4.654990067462506,0.4389202066578289
104,5,316,82,-5.656557123043447,-5.927392020109782,-5.385722225977112,0.1381836090880474,0.2163551099242197,0.17107730992804504,0.4651398821045339,-6.737720765197595,-4.575393480889298,0.4852317175791562
104,5,316,91,-5.455604148856601,-5.714414654248067,-5.196793643465135,0.13204860264419685,0.18554941981596157,0.14652541245895834,0.4307544774183567,-6.4747963407720945,-4.436411956941107,0.4505399574690868
104,5,316,92,-5.52644652163924,-5.823148219106359,-5.229744824172122,0.15138119874011147,0.24248546031689422,0.2018722318605913,0.4924281270570297,-6.691845537316787,-4.361047505961693,0.5151715516688469
104,5,318,21,-11.551547373429027,-12.046450305693215,-11.05664444116484,0.252506135912659,0.21659768446611855,0.265168545011726,0.46540056345702735,-12.772547782572234,-10.330546964285821,0.529487519342676
104,5,318,22,-11.718632686224588,-12.124121268562664,-11.313144103886511,0.20688573133818686,0.07187244562836624,0.19086481211961018,0.268090368399102,-12.499528058914601,-10.937737313534575,0.3386357208855892
104,5,318,31,-11.431336602979847,-11.799519887814151,-11.063153318145543,0.18785206653718473,0.15751915275556277,0.14626043607690664,0.3968868261300226,-12.443899714549719,-10.418773491409976,0.43909856713254447
104,5,318,32,-11.422182660144255,-11.75386010640413,-11.09050521388438,0.1692262964401918,0.12697928008483636,0.12025844097129218,0.3563415216963024,-12.331862037393728,-10.512503282894782,0.3944829774422466
104,5,318,41,-10.398140469047174,-10.691290418713026,-10.104990519381323,0.1495690492163028,0.13986586644106538,0.11882811186429681,0.37398645221593974,-11.326967237843586,-9.469313700250762,0.4027862546370397
104,5,318,42,-10.80030834680461,-11.141657477034617,-10.458959216574602,0.1741609197528759,0.16704936172388207,0.14312770326307492,0.40871672552500476,-11.824811220056407,-9.775805473552811,0.44427625155194794
104,5,318,51,-10.062824126942228,-10.365441353258245,-9.760206900626212,0.1543993811636449,0.1931548817526184,0.16009069266206283,0.43949389273642747,-11.137021275502523,-8.988626978381934,0.4658262022002787
104,5,318,52,-10.43486217814813,-10.780913048550797,-10.088811307745463,0.17655981085992997,0.24484921785927746,0.2030550491724375,0.49482241042547526,-11.646387207704517,-9.223337148591742,0.525378515615334
104,5,318,61,-10.023687451461244,-10.344375135424398,-9.70299976749809,0.1636191718280021,0.1845510769501258,0.15892016946373094,0.4295940839328747,-11.083753088729148,-8.96362181419334,0.4596980643202743
